"Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
" "," "," ",,"8/28","8/29","8/30"
"8/31","9/1 Labor Day","9/2","9/3","9/4","9/5","9/6"
"9/7","9/8","9/9","9/10","9/11","9/12","9/13"
"9/14","9/15","9/16","9/17","9/18","9/19","9/20"
"9/21","9/22","Friday classes meet 9/23","No Class 9/24","No class 9/25","No class 9/26; Makeup Tuesday 9/23","9/27"
"9/28","9/29 ","9/30 ","10/1","10/2","No classes","No classes"
"10/5","10/6","10/7","10/8","10/9","10/10","10/11"
"No classes","10/13 Columbus day (no classes)","10/14","10/15","10/16","10/17","10/18"
"10/19","10/20","10/21","10/22","10/23","10/24","10/25"
"10/26","10/27","10/28","10/29","10/30","10/31 ","11/1"
"11/2","11/3","11/4","11/5","11/6","11/7","11/7"
"11/9","11/10","11/11","11/12","11/13","11/14","11/15"
"11/16","11/17","11/18","11/19","11/20","11/21","11/22"
"11/23","11/24","11/25","11/26","11/27 Thanksgiving","11/28 Thanksgiving","Thanksgiving recess "
"Thanksgiving recess"," 12/1","12/2","12/3","12/4","12/5","12/6"
"12/7","12/8","12/9","12/10","12/11","12/12","12/13"
"12/14","12/15","12/16*+R","12/17*","12/18*","12/19*  ","12/20*  "
"12/21* ","12/22* ","12/23*",,,," "
"---","---","---","---","---","---","---"
,"Monday","Thursday","Friday",,,
"Week 1","9/8","8/28","8/29",,,
"Week 2","9/15","9/4","9/5",,,
"Week 3","9/22","9/11","9/12",,,
"Week 4","9/29 ","9/18","9/19",,,
"Week 5","10/6","10/2","Tues 9/23",,,
"Week 6",,"10/9","10/10",,,
"Week 7","10/20","10/16","10/17",,,
"Week 8","10/27","10/23","10/24",,,
"Week 9","11/3","10/30","10/31 ",,,
"Week 10","11/10","11/6","11/7",,,
"Week 11","11/17","11/13","11/14",,,
"Week 12","11/24","11/20","11/21",,,
"Week 13"," 12/1","12/4","12/5",,,
"Week 14","12/8","12/11","12/12",,,
"Week 15","12/15","12/18","12/19",,,
